movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
I Got the Hook Up,The Helix... Loaded,Khiladi 786,National Lampoon’s Van Wilder,Miss Congeniality 2: Armed and Fabulous,Big Trouble
She's the One,Newlyweds,The Brothers McMullen,My Super Ex-Girlfriend,The Incredibly True Adventure of Two Girls In Love,Ira & Abby
Gods and Monsters,The Slaughter Rule,Young Frankenstein,Victor Frankenstein,Hostel: Part II,Futuro Beach
The Secret in Their Eyes,Murder by Numbers,Insomnia,Wonderland,Frenzy,All Good Things
Train,Mama,Transsiberian,Under Siege 2: Dark Territory,The Young and Prodigious T.S. Spivet,Tales from the Hood
Evil Dead II,The Evil Dead,Evil Dead,The Cabin in the Woods,Army of Darkness,Krampus
Pootie Tang,The Hebrew Hammer,The Golden Child,The Toxic Avenger Part II,The Devil's Tomb,The Deported
Sharknado,The Shallows,Bait,Jaws,The Reef,About Schmidt
The Other Conquest,Redemption Road,Love Me Tender,I Love Your Work,For Your Consideration,Live-In Maid
Troll Hunter,Paranormal Activity 4,One for the Money,Open Season,The Evil Dead,The Frozen
Ira & Abby,Like Crazy,Whatever Works,The Story of Us,The Last Five Years,Breaking Upwards
Winter Passing,Little Boy,Hardflip,Because of Winn-Dixie,Four Single Fathers,The Crime of Padre Amaro
D.E.B.S.,Code of Honor,Amidst the Devil's Wings,Mad Money,Observe and Report,Bullet to the Head
The Masked Saint,Salvation Boulevard,Do You Believe?,As It Is in Heaven,The White Ribbon,Amidst the Devil's Wings
The Betrayed,Double Jeopardy,Nine Queens,Easy Money,Blood and Wine,All Good Things
Taxman,2 Guns,Romeo Is Bleeding,Made,Police Academy: Mission to Moscow,The Brass Teapot
The Secret,The Loss of Sexual Innocence,The Class,The Imitation Game,Menace II Society,11:14
2:13,Eye of the Beholder,Hayride,My Soul to Take,Urban Legend,Severance
"Batman: The Dark Knight Returns, Part 2",Batman Returns,The Dark Knight,Batman Forever,The Dark Knight Rises,Batman & Robin
Time to Choose,Incident at Loch Ness,An Inconvenient Truth,A LEGO Brickumentary,Trekkies,The Vatican Exorcisms
In the Name of the King III,Raising Helen,Up,The Last Time I Committed Suicide,The Hunt,Return to the Blue Lagoon
Wicked Blood,Amidst the Devil's Wings,In Too Deep,Easy Money,The Transporter Refueled,Walking Tall
Stranded,Dead Man's Shoes,The Last House on the Left,A Man Apart,Furious 7,The Widow of Saint-Pierre
Lords of London,Exiled,The Trouble with Harry,The American,Dawn of the Crescent Moon,Sexy Beast
High Anxiety,History of the World: Part I,Spellbound,Don Juan DeMarco,The Wash,Jekyll and Hyde ... Together Again
March of the Penguins,Farce of the Penguins,Happy Feet,Space Battleship Yamato,The Brave Little Toaster,An Inconvenient Truth
Margin Call,Criminal Activities,Limbo,Trash,Checkmate,Midnight in the Garden of Good and Evil
August,"Lovely, Still",The Singles Ward,A Lot Like Love,Before Sunset,Flipped
Choke,Anomalisa,Extreme Movie,Lovely & Amazing,Divine Secrets of the Ya-Ya Sisterhood,The Perfect Man
Whiplash,Selena,Alone With Her,R100,I Love Your Work,The Longest Ride
City of God,Brick Lane,Wuthering Heights,The Loss of Sexual Innocence,Open Road,Aloft
Human Traffic,Holy Motors,The Grandmaster,Anomalisa,Kites,On the Line
To Write Love on Her Arms,The Express,The Lunchbox,Animals,The Straight Story,Jesus' Son
The Dead Girl,End of the Spear,The Spanish Prisoner,Easy Money,Thirteen Conversations About One Thing,After.Life
The Hunt,Easy A,World's Greatest Dad,Character,Raising Helen,Paa
A Christmas Story,The Santa Clause,Arthur Christmas,A Charlie Brown Christmas,Elf,Christmas with the Kranks
Bella,Gracie,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,As Good as It Gets,Rocket Singh: Salesman of the Year,Frances Ha
Class of 1984,World's Greatest Dad,21 Jump Street,Hamlet 2,Rushmore,Menace II Society
The Opposite Sex,Raising Helen,Living Out Loud,The Perfect Match,Trading Places,Up
Dreaming of Joseph Lees,Married Life,Enough Said,Drive Me Crazy,The Twilight Saga: Breaking Dawn - Part 2,Lies in Plain Sight
The Class,The Wave,Notes on a Scandal,The History Boys,Nothing But a Man,Bad Teacher
Rosemary's Baby,Out of the Dark,Insidious: Chapter 3,Beloved,The Haunting in Connecticut 2: Ghosts of Georgia,Four Single Fathers
The Man Who Shot Liberty Valance,American Outlaws,The Ridiculous 6,The Business of Fancydancing,The Judge,Slow West
Adam,Two Lovers,Three,The House of Mirth,The Lucky One,Her
Maria Full of Grace,Nine Queens,The Infiltrator,Deadfall,Trash,Only God Forgives
Beginners,Maurice,Pink Narcissus,The Slaughter Rule,Ong Bak 2,Blue Like Jazz
Feast,The Helix... Loaded,My Name Is Bruce,Khiladi 786,Jennifer's Body,MacGruber
Animal House,College,Neighbors 2: Sorority Rising,National Lampoon’s Van Wilder,Sydney White,Larry Crowne
Goldfinger,Never Say Never Again,The Devil's Tomb,From Russia with Love,Tomorrow Never Dies,Pocahontas
Antiviral,28 Days Later,Quarantine,The Forsaken,Pontypool,Final Destination 3
It's a Wonderful Life,Blow,Dead Like Me: Life After Death,A Single Man,Niagara,The Family Stone
Trainspotting,Requiem for a Dream,Party Monster,River's Edge,We Own the Night,Jesus' Son
The Original Kings of Comedy,Extreme Movie,My Big Fat Greek Wedding 2,The Helix... Loaded,Crying with Laughter,Welcome Home Roscoe Jenkins
Paranormal Activity 2,Paranormal Activity 3,Paranormal Activity,The Amityville Horror,[REC]²,Diary of the Dead
Waking Ned,The Salon,Lucky Numbers,Office Space,Undiscovered,The Incredibly True Adventure of Two Girls In Love
Bowling for Columbine,Bad Grandpa,Slacker Uprising,2016: Obama's America,Fahrenheit 9/11,The Straight Story
Coming Home,Fateless,Jarhead,10th & Wolf,About Schmidt,Adulterers
A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 3: Dream Warriors,Freddy's Dead: The Final Nightmare,New Nightmare
A Room with a View,Two Weeks Notice,Winnie Mandela,Anomalisa,The Duchess,Camping Sauvage
The Purge,Sinister,Out of the Dark,Insidious: Chapter 3,Echo Dr.,Surrogates
Sinister,Out of the Dark,Darkness,Serial Mom,The Haunting in Connecticut 2: Ghosts of Georgia,Deadfall
Martin Lawrence Live: Runteldat,Solitary Man,Raising Helen,I Don't Know How She Does It,Up,The Dictator
Cat on a Hot Tin Roof,When Did You Last See Your Father?,Elmer Gantry,Life as a House,The Crime of Padre Amaro,Paa
Beneath the Planet of the Apes,Escape from Planet Earth,Battle for the Planet of the Apes,Planet of the Apes,The Martian,Alien³
Air Bud,Space Jam,Coach Carter,Glory Road,The Other Dream Team,Semi-Pro
Pokémon: Spell of the Unknown,Ink,Rise of the Guardians,Return to Never Land,The Croods,Ponyo
Friday the 13th Part VI: Jason Lives,Friday the 13th: A New Beginning,Friday the 13th Part 2,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th: The Final Chapter,Jason Goes to Hell: The Final Friday
The Bridge on the River Kwai,The Bridge of San Luis Rey,Letters from Iwo Jima,Red Tails,Unbroken,A Bridge Too Far
Spaced Invaders,Meet Dave,The Helix... Loaded,My Big Fat Greek Wedding 2,Good Boy!,Delgo
Family Plot,Cecil B. Demented,Frenzy,Open Secret,Collateral,Zero Effect
The Apartment,New Year's Eve,Four Single Fathers,The Four Seasons,The Curse of the Jade Scorpion,Please Give
Jason Goes to Hell: The Final Friday,Friday the 13th: The Final Chapter,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VI: Jason Lives,Halloween,The Ultimate Gift
Torn Curtain,xXx,Containment,Topaz,Pandorum,The White Ribbon
Dave Chappelle's Block Party,Tupac: Resurrection,You Got Served,Brown Sugar,Scott Walker: 30 Century Man,B-Girl
Slow West,Bad Grandpa,The Inkwell,Shalako,The Quick and the Dead,Partition
Krush Groove,I Love You Phillip Morris,Yentl,Poetic Justice,"New York, New York",Love Me Tender
Next Day Air,Khiladi 786,The Helix... Loaded,The Matador,Bandits,Silver Medalist
Elmer Gantry,Redemption Road,Cat on a Hot Tin Roof,Four Single Fathers,The 5th Quarter,Bound
Judgment at Nuremberg,Saving Private Ryan,The Monuments Men,Ghosts of Mississippi,12 Angry Men,High Crimes
Trippin',Prom,There's Something About Mary,American Pie,Sex Drive,She's All That
Red River,Character,Open Range,Pat Garrett & Billy the Kid,The Alamo,Four Brothers
Phat Girlz,Woman on Top,Lovely & Amazing,Rock of Ages,Without Men,16 to Life
Before Midnight,Before Sunset,Before Sunrise,My Life in Ruins,One Day,Gentleman's Agreement
Teen Wolf Too,That's My Boy,Blood and Chocolate,Wolf,Snow Day,My Big Fat Greek Wedding 2
Phantasm II,Alien Zone,Redbelt,The Lawnmower Man,Ong Bak 2,Invasion U.S.A.
Woman Thou Art Loosed,Higher Ground,Revolutionary Road,Morvern Callar,Black Snake Moan,The Dead Girl
Real Women Have Curves,Raising Helen,Under the Same Moon,Fish Tank,Wish I Was Here,Somewhere
Water,"Gandhi, My Father",Tango,Adam,My Lucky Star,Moonlight Mile
East Is East,The Kids Are All Right,Religulous,My Big Fat Greek Wedding 2,Ponyo,Blow
Whipped,This Means War,Next Stop Wonderland,Femme Fatale,Must Love Dogs,Romance & Cigarettes
Kama Sutra - A Tale of Love,Friends with Money,The Piano,Divine Secrets of the Ya-Ya Sisterhood,The Women,The Last Five Years
Please Give,Pieces of April,The Out-of-Towners,Four Single Fathers,Boynton Beach Club,Everything Must Go
Willy Wonka & the Chocolate Factory,Charlie and the Chocolate Factory,Doogal,Blood and Chocolate,Chocolat,Doctor Dolittle
Warlock: The Armageddon,The Devil's Tomb,Warlock,Halloween: The Curse of Michael Myers,Epic,Resident Evil: Extinction
8 Heads in a Duffel Bag,Cheaper by the Dozen 2,The Rugrats Movie,Knockaround Guys,Crazy in Alabama,Rugrats in Paris: The Movie
Days of Heaven,The Time Traveler's Wife,Lars and the Real Girl,Babe: Pig in the City,Veer-Zaara,First Knight
Thirteen Conversations About One Thing,The Mirror Has Two Faces,The Dead Girl,Wuthering Heights,Somewhere,3 Backyards
Jawbreaker,The Dirties,Dick,21 Jump Street,The DUFF,Easy A
Basquiat,Factory Girl,The Monuments Men,Notes on a Scandal,London,Woman in Gold
Frances Ha,Four Single Fathers,How to Lose Friends & Alienate People,Last I Heard,The Out-of-Towners,Stonewall
Tsotsi,Three Men and a Baby,Baby's Day Out,Sexy Beast,The Rugrats Movie,The Protector
Happiness,200 Cigarettes,Boynton Beach Club,Life During Wartime,Welcome to the Dollhouse,The Savages
DysFunktional Family,The Addams Family,The Greatest Movie Ever Sold,The Lion King,Man on the Moon,My Big Fat Greek Wedding 2
Tusk,Jennifer's Body,Walking and Talking,Yoga Hosers,Stan Helsing,The Hangover
Oldboy,Dead Man's Shoes,A Man Apart,Furious 7,Butterfly on a Wheel,I Am Wrath
Letters to God,Nicholas Nickleby,The Night Listener,Central Station,Walter,The Grace Card
Hobo with a Shotgun,The Thief and the Cobbler,Dead Man Down,Code of Honor,Metropolis,Sin City
Compadres,The Helix... Loaded,Khiladi 786,30 Minutes or Less,Pineapple Express,Feast
Freeway,Driving Lessons,Pushing Tin,Osama,Central Station,Blue Like Jazz
Love's Abiding Joy,Running Forever,Selena,The Last Godfather,Nicholas Nickleby,The Claim
Fish Tank,Real Women Have Curves,Under the Same Moon,Notes on a Scandal,Morvern Callar,The Diary of a Teenage Girl
Damsels in Distress,Sydney White,Loser,Like Crazy,Pitch Perfect,Fame
Creature,Devil,Elysium,Limbo,They Live,Jaws
Bachelorette,My Big Fat Greek Wedding 2,Kiss the Bride,Another Happy Day,Monsoon Wedding,"Run, Fatboy, Run"
Brave New Girl,The Bélier Family,Mr. Holland's Opus,Bandslam,Yentl,Footloose
Tim and Eric's Billion Dollar Movie,Extreme Movie,My Big Fat Independent Movie,Disaster Movie,Bowfinger,Jackass 3D
Summer Storm,The Way Way Back,Daddy Day Camp,The Broken Hearts Club: A Romantic Comedy,Just Looking,A Home at the End of the World
Fort McCoy,Unbroken,Inchon,Journey from the Fall,Red Tails,Enemy at the Gates
Chain Letter,"Food, Inc.",Letters to Juliet,The Texas Chain Saw Massacre,A Sound of Thunder,Next Stop Wonderland
Just Looking,The Inkwell,Georgia Rule,Kids,Def Jam's How to Be a Player,The Way Way Back
The Divide,"Jeff, Who Lives at Home",Pontypool,10 Cloverfield Lane,The Helix... Loaded,The Hole
The Eclipse,Halloween 4: The Return of Michael Myers,The Stepfather,White Noise,Dream House,Michael Collins
Demonic,I Come with the Rain,In the Valley of Elah,Open Secret,Devil,Insidious: Chapter 2
My Big Fat Independent Movie,Disaster Movie,Extreme Movie,A Beginner's Guide to Snuff,Jackass 3D,My Big Fat Greek Wedding 2
The Deported,We're the Millers,Mambo Italiano,My Big Fat Greek Wedding 2,Four Single Fathers,Growing Up Smith
Tanner Hall,Mystic Pizza,An Education,The Inkwell,The Naked Ape,St. Trinian's
Open Road,Hitman,Brooklyn Rules,Partition,Aloft,Raising Helen
They Came Together,The Salon,Punch-Drunk Love,Unfinished Business,You've Got Mail,The Ten
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Elza,Critical Care,Secretary,Private Benjamin,The Last Godfather
Never Back Down 2: The Beatdown,Real Steel,Amidst the Devil's Wings,Rush,Play It to the Bone,Supercross
Point Blank,Dead Man Down,Amidst the Devil's Wings,The Devil's Double,Nine Queens,I Am Wrath
Four Single Fathers,Supporting Characters,Boynton Beach Club,Eulogy,The Cookout,Blue Like Jazz
Enter the Dangerous Mind,Alone With Her,Crying with Laughter,Easy Money,Trash,The Omega Code
Something Wicked,Alone With Her,Enter the Dangerous Mind,The Unborn,The Dead Girl,The Village
AWOL-72,Silent Trigger,Eastern Promises,Malone,xXx,Banshee Chapter
Iguana,The Angry Birds Movie,The Widow of Saint-Pierre,Swept Away,The Tempest,Rapa Nui
Chicago Overcoat,Harsh Times,Training Day,Bullet to the Head,Nighthawks,Amidst the Devil's Wings
Barry Munday,Boynton Beach Club,"Good bye, Lenin!",The Country Doctor,The Incredibly True Adventure of Two Girls In Love,Patch Adams
Central Station,Hardflip,The Class,World's Greatest Dad,Nothing But a Man,Far from Men
Pocketful of Miracles,Snow Angels,Alvin and the Chipmunks: The Road Chip,Betty Fisher and Other Stories,Four Single Fathers,Character
Close Range,Heli,American Outlaws,Young Guns,Amidst the Devil's Wings,Walking Tall
Boynton Beach Club,The Incredibly True Adventure of Two Girls In Love,Four Single Fathers,Mystic Pizza,Lovely & Amazing,The Brothers McMullen
Amnesiac,Snow White: A Deadly Summer,About Schmidt,Salton Sea,Memento,Nothing But a Man
Freakonomics,Top Spin,Trekkies,Give Me Shelter,Scott Walker: 30 Century Man,Oceans
High Tension,The Conjuring,The Texas Chain Saw Massacre,Johnson Family Vacation,The Master of Disguise,Marley & Me
Griff the Invisible,Boynton Beach Club,Life During Wartime,The Incredibly True Adventure of Two Girls In Love,My Last Day Without You,Love and Other Catastrophes
Unnatural,Bats,Hitman,Grindhouse,The Last Exorcism Part II,The Lords of Salem
Hustle & Flow,You Got Served,Tupac: Resurrection,B-Girl,8 Mile,Brown Sugar
Some Like It Hot,Did You Hear About the Morgans?,Down & Out With The Dolls,Ip Man 3,Valentine's Day,Josie and the Pussycats
Friday the 13th Part VII: The New Blood,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th: A New Beginning,Friday the 13th Part VI: Jason Lives,The Dark Hours,Friday the 13th Part III
The Wizard of Oz,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Stardust,Legends of Oz: Dorothy's Return,The Chronicles of Narnia: Prince Caspian,Howl's Moving Castle
Young Frankenstein,Victor Frankenstein,Gods and Monsters,Mystery Men,"I, Frankenstein",Charly
Diary of the Dead,Night of the Living Dead,Grindhouse,Day of the Dead,A Beginner's Guide to Snuff,Detention of the Dead
Lage Raho Munna Bhai,Quartet,Boynton Beach Club,Lovely & Amazing,Welcome Home Roscoe Jenkins,My Big Fat Greek Wedding 2
Ulee's Gold,Journey from the Fall,The Quiet,My Big Fat Greek Wedding,The Savages,Big Daddy
The Black Stallion,Hidalgo,Of Horses and Men,Dreamer: Inspired By a True Story,Horse Camp,Flicka
Sardaarji,Troll Hunter,Anaconda,One for the Money,Ghostbusters,Thir13en Ghosts
Journey to Saturn,Meet Dave,The Helix... Loaded,Space Pirate Captain Harlock,The Black Hole,Star Trek III: The Search for Spock
Donovan's Reef,Christmas Eve,VeggieTales: The Pirates Who Don't Do Anything,In Good Company,Flushed Away,Quartet
The Dress,Next Stop Wonderland,Boynton Beach Club,Hamlet 2,End of the Spear,The Girl on the Train
A Guy Named Joe,Top Gun,Stolen Summer,Airplane!,Bill & Ted's Excellent Adventure,Ted 2
Blazing Saddles,Rango,The Best Little Whorehouse in Texas,The Claim,Lone Star,Silverado
Friday the 13th: The Final Chapter,Friday the 13th Part III,Friday the 13th: A New Beginning,Friday the 13th Part 2,Jason Goes to Hell: The Final Friday,Friday the 13th Part VI: Jason Lives
Ida,The Believer,Leap Year,Anna and the King,Mozart's Sister,This Christmas
Maurice,Beginners,The Broken Hearts Club: A Romantic Comedy,In & Out,The Longest Ride,My Beautiful Laundrette
Beer League,The Benchwarmers,The Bad News Bears,A League of Their Own,Million Dollar Arm,Summer Catch
Riding Giants,Chasing Mavericks,"Surfer, Dude",Blue Crush,Oceans,The Perfect Wave
Timecrimes,In Time,Project Almanac,Kate & Leopold,Timecop,Somewhere in Time
Silver Medalist,30 Minutes or Less,The Helix... Loaded,Jonah: A VeggieTales Movie,Small Soldiers,MacGruber
Timber Falls,Eden Lake,Book of Shadows: Blair Witch 2,The Forest,The Frozen,Green Room
Singin' in the Rain,42nd Street,The Broadway Melody,Tango,Fame,The Pirate
"Fat, Sick & Nearly Dead",The Vatican Exorcisms,Wolves,Joe Somebody,The Velocity of Gary,Downfall
A Haunted House,The Greatest Movie Ever Sold,The Blair Witch Project,The Kentucky Fried Movie,Jennifer's Body,Can't Stop the Music
2016: Obama's America,Bowling for Columbine,Nothing But a Man,Beavis and Butt-Head Do America,Journey from the Fall,Captain America: The Winter Soldier
That Thing You Do!,Larry Crowne,Fame,Begin Again,Bandslam,The Rocker
Halloween III: Season of the Witch,Son of the Mask,Antiviral,Halloween,Spellbound,Final Destination
Escape from the Planet of the Apes,Oblivion,Mad Max Beyond Thunderdome,The Helix... Loaded,Battlefield Earth,Planet of the Apes
